timestamp,eth_price,tick_variance,on_chain_var,lp_active,total_assets,idle,deployed,liquidity,share_price
2026-03-19 05:51:26,2189.57,5208725822368266584064,2598830284991434055549,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 06:57:00,2206.49,5305022017235826245632,4855681061201506040815,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 09:58:52,2192.87,4932470204224136806400,4948230884987270149615,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 11:01:48,2198.1,4804171660750422540288,4843105630265585739453,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 12:02:38,2197.6,4532660575503974400000,4706981176629508576471,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 13:04:02,2211.45,4564537362907569586176,4644822548334060946074,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 14:04:37,2194.32,4621051544400527097856,4639944617597567807654,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 15:05:06,2185.81,4491717354429016440832,4627464798492355335700,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 16:04:49,2180.07,4389227666116605116416,4530338058492296872642,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 17:04:14,2166.21,4351978442742384558080,4438439924871350333616,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 18:02:51,2165.26,4257736404182658711552,4363164998956322866710,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 19:01:14,2191.74,4666750792344926683136,4473812325825673521346,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 20:59:49,2167.41,4668317537039264776192,4669708069604316121926,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 21:57:51,2133.76,5134255681239631527936,4661977618833033654632,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 22:55:13,2140.26,5100222295148824887296,5001818970848985808429,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-19 23:53:37,2127.66,4957254866248649408512,4998205253892461674379,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-20 00:52:02,2116.61,4894717349337725140992,4977730060070555541445,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-20 01:49:14,2114.04,4754172488760642502656,4936223704704140341218,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-20 02:47:02,2117.07,4632530535003004076032,4845198096732391421937,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-20 03:44:26,2115.96,4670200746145086439424,4738864315867697748984,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-20 04:40:50,2144.85,4799578006974927732736,4704532531006392094204,True,150000000000,50000000000,100000000000,1041618760850,1499995000049999500
2026-03-20 05:37:01,2144.11,4589555338743080026112,4752055268990659913470,False,99999999999,99999999999,0,0,999999999990000099
2026-03-20 06:34:13,2147.62,4480917029278874861568,4670805303866869969791,False,99999999999,99999999999,0,0,999999999990000099
